slug,title,net_effect_consensus,median_pay,num_jobs,fable5_commercial_weight,fable5_consumer_weight,fable5_undefined_weight,fable5_rationale,gpt56sol_commercial_weight,gpt56sol_consumer_weight,gpt56sol_undefined_weight,gpt56sol_rationale,grok45_commercial_weight,grok45_consumer_weight,grok45_undefined_weight,grok45_rationale,avg_commercial_weight,avg_consumer_weight,avg_undefined_weight
network-and-computer-systems-administrators,Network and computer systems administrators,replace,96800,331500,0.95,0.0,0.05,"System administration is an in-house or contracted organizational function, and the AIOps, cloud automation, and self-healing infrastructure tools displacing it are purchased by employers and enterprise service providers, with no meaningful consumer bypass channel.",0.95,0.0,0.05,"AI disruption of systems administration is overwhelmingly commercial because employers and managed-service providers purchase AIOps, cloud automation, monitoring, and self-healing infrastructure tools, while individuals rarely hire and replace these professionals directly.",1.0,0.0,0.0,"Network and systems administrators work exclusively for organizations that buy AIOps, automation, and cloud-management tools to reduce headcount; individuals never hire these professionals out of pocket.",0.9667,0.0,0.0333
police-fire-and-ambulance-dispatchers,Public safety telecommunicators,replace,50730,105200,0.95,0.0,0.05,"AI call-handling, transcription, and triage systems are procured by government PSAPs and public safety agencies, not by individuals, since no consumer buys AI to replace calling 911.",0.95,0.0,0.05,"AI disruption will overwhelmingly come from public safety agencies purchasing call intake, transcription, triage, translation, and dispatch systems, with virtually no direct consumer purchasing channel.",1.0,0.0,0.0,"Public safety telecommunicators work for government PSAPs and agencies that purchase AI call-handling, triage, and CAD tools, with no consumer market for individuals to bypass 911 dispatchers.",0.9667,0.0,0.0333
receptionists,Receptionists,replace,37230,1007200,0.95,0.0,0.05,"Receptionists are employed by organizations, and the AI voice agents, chatbots, and scheduling systems displacing them are purchased by employers to reduce front-desk headcount; individuals never hire receptionists directly, so there is no consumer channel.",0.95,0.0,0.05,"Receptionists are primarily displaced by employer-purchased AI voice agents, scheduling platforms, chatbots, and digital check-in systems, with only minor ambiguity in mixed-use contexts.",1.0,0.0,0.0,"Receptionist roles are internal organizational functions disrupted exclusively by employers purchasing AI voice agents, chatbots, scheduling systems, and digital check-in tools, with no consumer market where individuals hire or bypass receptionists out of pocket.",0.9667,0.0,0.0333
tax-examiners-and-collectors-and-revenue-agents,"Tax examiners and collectors, and revenue agents",replace,59740,57600,0.95,0.0,0.05,"Tax examiners work for government agencies, so AI disruption comes almost entirely from tax authorities procuring automated return-review, anomaly-detection, and collections software; individuals cannot bypass tax enforcement by purchasing consumer AI.",0.95,0.0,0.05,"Tax examiners, collectors, and revenue agents are predominantly government employees, so disruption will come almost entirely from tax authorities purchasing or developing AI systems to automate enforcement and casework.",1.0,0.0,0.0,"Tax examiners, collectors, and revenue agents are employed by government tax agencies whose AI tools for return review, anomaly detection, and enforcement are purchased by those institutions, with no consumer channel for individuals to bypass or replace this public enforcement function.",0.9667,0.0,0.0333
actuaries,Actuaries,replace,125770,33600,0.95,0.0,0.05,"Actuaries are employed almost exclusively by insurers, pension funds, and consulting firms that purchase AI modeling and analytics tools institutionally; individuals do not buy actuarial services out of pocket, so consumer bypass is essentially absent.",0.95,0.0,0.05,"Actuaries are overwhelmingly employed by insurers, consultancies, pension organizations, and regulators that will purchase AI modeling and analytics tools, while individuals rarely hire or replace actuaries directly.",0.95,0.0,0.05,"Actuarial work is almost exclusively performed inside insurers, consultancies, and other institutions that purchase modeling and analytics tools for their staff, with virtually no direct-to-consumer market for actuarial services that individuals could bypass with personal AI.",0.95,0.0,0.05
budget-analysts,Budget analysts,replace,87930,50400,0.95,0.0,0.05,"Budget analysts are employed by governments and firms, so disruption comes almost entirely from organizations purchasing AI financial planning, forecasting, and reporting tools rather than individuals bypassing a service they buy personally.",0.95,0.0,0.05,"Budget analysts primarily work within governments and organizations, so disruption will overwhelmingly come from employer-purchased budgeting, forecasting, compliance, and reporting tools, with minimal direct consumer substitution.",0.95,0.0,0.05,"Budget analysts are almost exclusively employed by organizations and governments whose employers purchase AI tools for consolidation, forecasting, and reporting; individuals rarely hire budget analysts as a consumer service.",0.95,0.0,0.05
compensation-benefits-and-job-analysis-specialists,"Compensation, benefits, and job analysis specialists",replace,77020,107000,0.95,0.0,0.05,"Compensation and benefits specialists work inside organizations, so AI disruption comes from employers purchasing HR analytics, benchmarking, and generative drafting tools rather than individuals bypassing a personal service, with only marginal ambiguity for small firms or consultants.",0.95,0.0,0.05,"Compensation and job analysis specialists work primarily inside or for organizations, so disruption overwhelmingly comes from employers purchasing HR analytics, benchmarking, compliance, and generative AI tools, with only minor ambiguity for independent consulting contexts.",0.95,0.0,0.05,"Compensation and job analysis work is an internal organizational HR function whose AI tools (benchmarking, job-description generation, benefits modeling) are bought by employers, with no meaningful consumer market of individuals paying out-of-pocket to replace these specialists.",0.95,0.0,0.05
compliance-officers,Compliance officers,replace,78420,418000,0.95,0.0,0.05,"Compliance officers are employed by regulated firms, and AI disruption comes from employers purchasing RegTech and LLM tools to automate monitoring, audits, and policy drafting — individuals do not personally hire compliance officers, so there is no meaningful consumer channel.",0.95,0.0,0.05,"Compliance officers are overwhelmingly employed by organizations that purchase RegTech, monitoring, document-review, and policy-generation tools, with virtually no direct-to-consumer substitution channel.",0.95,0.0,0.05,"Compliance officers are almost exclusively employed by organizations that purchase RegTech/AI monitoring, policy, and audit tools as cost-center software, with virtually no consumer market for individuals bypassing the role.",0.95,0.0,0.05
customer-service-representatives,Customer service representatives,replace,42830,2814000,0.95,0.0,0.05,"Customer service AI (chatbots, voice agents, contact-center automation) is purchased by companies to deflect support contacts and reduce headcount, with no meaningful channel where consumers buy AI to replace a service they paid reps for directly.",0.95,0.0,0.05,"Customer service AI is overwhelmingly purchased and deployed by employers to automate inquiries and transactions, with minor ambiguity from third-party platforms and consumer-facing self-service tools.",0.95,0.0,0.05,"AI disruption is almost entirely commercial as employers purchase and deploy chatbots/voice agents to replace CSRs handling company-specific inquiries, with negligible consumer channel since individuals do not buy tools to bypass hired support staff.",0.95,0.0,0.05
general-office-clerks,General office clerks,replace,43630,2646000,0.95,0.0,0.05,"General office clerks are employed by organizations, and the AI tools automating data entry, scheduling, and document processing are purchased by employers as enterprise software, with no meaningful consumer channel since individuals don't hire clerks directly.",0.95,0.0,0.05,"General office clerks primarily perform internal organizational work, so disruption will overwhelmingly come from employers purchasing AI-enabled productivity, workflow, scheduling, and automation tools, with only minor ambiguity from context-dependent self-service systems.",0.95,0.0,0.05,"General office clerks perform routine organizational tasks (data entry, scheduling, document prep, billing) whose AI replacements are bought by employers to cut headcount, with virtually no direct consumer market for hiring or bypassing such clerks.",0.95,0.0,0.05
human-resources-specialists,Human resources specialists,replace,72910,944300,0.95,0.0,0.05,"HR specialists serve organizations, and the AI tools displacing them (ATS screening, HR chatbots, onboarding automation) are enterprise software purchased by employers, with no meaningful consumer channel since individuals never hire HR specialists directly.",0.95,0.0,0.05,"HR specialists primarily serve organizations, so disruption overwhelmingly comes from employers purchasing AI recruiting, onboarding, compliance, records, and employee-support tools, with only minor ambiguity from self-service or context-dependent applications.",0.95,0.0,0.05,"HR specialists are almost exclusively employed by organizations that purchase AI recruiting, ATS, chatbot, and compliance tools to reduce headcount, with virtually no consumer market of individuals paying out-of-pocket for HR specialist services that AI could bypass.",0.95,0.0,0.05
models,Models,replace,89990,6700,0.95,0.0,0.05,"Models are hired by brands, agencies, and retailers, and it is these businesses buying generative AI imagery, virtual model, and try-on tools to replace human bookings, with essentially no individual consumers paying models out of pocket.",0.95,0.0,0.05,"AI-generated imagery, virtual models, and virtual try-on systems are overwhelmingly purchased or deployed by brands, retailers, agencies, and production firms to replace paid human modeling work.",0.95,0.0,0.05,"Brands, agencies, and e-commerce firms purchase generative AI, virtual models, and try-on tools to replace human bookings for catalogs, ads, and product imagery; individuals do not hire models as a consumer service.",0.95,0.0,0.05
purchasing-managers-buyers-and-purchasing-agents,"Purchasing managers, buyers, and purchasing agents",replace,79830,605600,0.95,0.0,0.05,"Purchasing managers work exclusively inside organizations, and AI procurement, spend-analysis, and sourcing tools are enterprise software bought by employers, with no meaningful consumer channel since individuals don't hire purchasing agents.",0.95,0.0,0.05,"Procurement AI is overwhelmingly purchased by organizations to automate or augment internal sourcing, supplier analysis, contract monitoring, and order processing, with only minor ambiguity from independent purchasing consultants or context-specific tools.",0.95,0.0,0.05,"Purchasing managers, buyers, and agents work inside organizations whose employers buy AI procurement, spend-analysis, and sourcing tools to automate their roles, with virtually no consumer channel of individuals hiring or bypassing these professionals.",0.95,0.0,0.05
claims-adjusters-appraisers-examiners-and-investigators,"Claims adjusters, appraisers, examiners, and investigators",replace,76790,365300,0.95,0.0,0.05,"Claims adjusters are employed by insurers who purchase AI claims-processing, computer vision, and fraud-detection tools at the enterprise level; policyholders cannot bypass the adjuster function themselves, leaving essentially no consumer channel.",0.95,0.0,0.05,"AI claims triage, damage estimation, policy review, and fraud detection tools are overwhelmingly purchased and deployed by insurers and claims-administration firms, with only minor ambiguity from independent adjusters or claimant-facing tools.",0.9,0.05,0.05,"Insurers and claims organizations buy AI for document review, computer-vision damage estimates, triage, and fraud detection to cut adjuster headcount, while consumer-side AI for self-filing or public adjusters is only a minor edge case.",0.9333,0.0167,0.05
court-reporters,Court reporters and simultaneous captioners,replace,67310,17700,0.95,0.0,0.05,"Court systems, law firms, and broadcasters purchase AI transcription and captioning software institutionally; individuals essentially never hire court reporters directly, leaving only marginal ambiguity in contexts like freelance deposition work.",0.95,0.0,0.05,"Courts, law firms, deposition services, broadcasters, and accessibility providers overwhelmingly procure AI transcription and captioning systems, while individuals rarely hire and replace these professionals directly.",0.9,0.05,0.05,"AI speech-to-text and captioning tools are bought by courts, law firms, media outlets, schools, and event organizers to replace or supervise human reporters/captioners, with only marginal consumer use of free AI tools for personal accessibility needs.",0.9333,0.0167,0.05
geographers,Geographers,replace,97200,1500,0.9,0.0,0.1,"Geographers are overwhelmingly employed by government agencies and organizations that purchase geospatial AI, remote-sensing, and automated GIS tools institutionally, with no meaningful consumer market for individuals bypassing professional geographers; a small undefined share reflects budget-driven headcount dynamics that don't map cleanly to tool purchases.",0.95,0.0,0.05,"Geographers are primarily employed by government agencies and organizations that purchase geospatial AI, GIS automation, and remote-sensing tools, while individuals rarely hire and replace geographers directly.",0.95,0.0,0.05,"Geographers almost exclusively serve government agencies, firms, and institutions that purchase GIS/remote-sensing AI tools, with no meaningful consumer market of individuals hiring or bypassing personal geographer services.",0.9333,0.0,0.0667
secretaries-and-administrative-assistants,Secretaries and administrative assistants,replace,47460,3453100,0.95,0.0,0.05,"Secretaries are employees, not services individuals hire directly, so disruption comes from employers deploying AI office assistants, scheduling agents, and Copilot-style tools that let managers self-serve, with only marginal ambiguity in edge cases like freelance virtual assistants.",0.95,0.0,0.05,"Nearly all disruption comes from employers adopting AI-enabled office software and agents to automate administrative tasks or enable employee self-service, with only minor ambiguity from independently hired personal assistants.",0.9,0.05,0.05,"Secretaries and administrative assistants are almost entirely employed by organizations, so AI disruption is monetized when employers buy scheduling, drafting, and office AI tools that consolidate or replace headcount, while pure consumer bypass of personal secretaries is rare and limited to a small executive/personal-assistant fringe.",0.9333,0.0167,0.05
wholesale-and-manufacturing-sales-representatives,Wholesale and manufacturing sales representatives,replace,74100,1613600,0.9,0.0,0.1,"AI sales agents, CRM automation, and B2B self-service portals are purchased by manufacturers, wholesalers, and business buyers—all organizational purchasers—with no individual consumer bypassing a professional service, leaving only modest ambiguity around who funds buyer-side self-service adoption.",0.95,0.0,0.05,"Disruption overwhelmingly comes from manufacturers and wholesalers deploying enterprise AI sales agents, CRM automation, and B2B self-service platforms, with minimal direct consumer purchasing.",0.95,0.0,0.05,"AI sales agents, chatbots, CRM automation, quoting tools, and B2B self-service portals are purchased by the manufacturers and wholesalers that employ these representatives, with virtually no role for individual consumers bypassing a paid professional service.",0.9333,0.0,0.0667
cost-estimators,Cost estimators,replace,77070,221400,0.9,0.05,0.05,"Cost estimators are employed by construction and manufacturing firms that purchase BIM-integrated takeoff and estimation software, with only marginal disruption from homeowners using AI to estimate small project costs themselves.",0.95,0.0,0.05,"Cost estimators are predominantly employed by construction, manufacturing, and engineering organizations that purchase AI-enabled estimating, BIM, and takeoff software, with minimal direct-to-consumer substitution.",0.9,0.05,0.05,"Cost estimators are almost exclusively employed by construction, manufacturing, and contracting firms that purchase BIM/CAD-integrated estimation AI tools, with only marginal consumer use for informal personal project estimates.",0.9167,0.0333,0.05
drafters,Drafters,replace,65380,192100,0.9,0.05,0.05,"AI-assisted CAD, generative design, and text-to-CAD tools are purchased by engineering, architecture, and manufacturing firms that employ drafters, with only a tiny sliver of individuals (e.g., homeowners drafting their own small-project plans) bypassing drafting services directly.",0.95,0.0,0.05,"AI-assisted CAD, BIM, and generative design tools are overwhelmingly purchased by architecture, engineering, construction, and manufacturing employers to automate drafting, with little direct consumer substitution.",0.9,0.05,0.05,"Drafting is almost entirely B2B knowledge work inside architecture, engineering, and manufacturing firms, so AI CAD/BIM and generative design tools are purchased by employers who then need fewer dedicated drafters, with only marginal consumer DIY use.",0.9167,0.0333,0.05
loan-officers,Loan officers,replace,74180,301400,0.9,0.0,0.1,"Loan officers are disrupted by banks and lenders purchasing AI underwriting, document verification, and automated origination systems; individuals cannot bypass the lending institution itself, so consumer purchase of AI plays essentially no role, with slight ambiguity only around fintech platforms that restructure the lending process.",0.95,0.0,0.05,"AI disruption of loan officers will overwhelmingly come from banks, credit unions, mortgage lenders, and fintech firms purchasing automated underwriting, document verification, compliance, and customer-service systems, with little direct consumer purchasing because lenders retain control over loan approval.",0.9,0.05,0.05,"Banks and lenders purchase AI underwriting, document verification, and origination tools to automate loan officer workflows, while direct consumer AI use to fully bypass paid loan services is minimal and edge cases remain limited.",0.9167,0.0167,0.0667
political-scientists,Political scientists,replace,139380,6500,0.9,0.0,0.1,"Political scientists are employed almost entirely by government agencies, think tanks, and research institutions that purchase AI research and analysis tools; individuals do not personally hire political scientists, so there is no meaningful consumer bypass channel, with modest ambiguity around grant-funded academic contexts.",0.95,0.0,0.05,"Political scientists are primarily employed by governments, universities, think tanks, and consulting organizations that purchase AI research and analysis tools, while individuals rarely hire political scientists directly for services that consumer AI could replace.",0.9,0.0,0.1,"Political scientists almost exclusively work for governments, universities, think tanks, and other institutions that would buy AI research/analysis tools, with no meaningful direct-to-consumer market for their professional services.",0.9167,0.0,0.0833
tellers,Tellers,replace,39340,347400,0.85,0.05,0.1,"Teller displacement is driven by banks purchasing and deploying automation (ATMs, mobile banking platforms, AI chatbots, video kiosks) to reduce branch staffing; consumers use these tools for free rather than buying them, so almost no disruption flows through direct individual purchases, with a small undefined share for consumer behavior shifts toward fintech apps.",0.95,0.0,0.05,"Banks and financial institutions overwhelmingly purchase or deploy the AI chatbots, automated kiosks, and transaction systems that reduce teller staffing, while customers generally do not directly buy these tools.",0.95,0.0,0.05,"Banks and financial institutions purchase and deploy the AI chatbots, enhanced ATMs, video kiosks, and digital banking platforms that automate teller tasks, while individuals do not buy AI tools to replace tellers as a paid professional service.",0.9167,0.0167,0.0667
advertising-sales-agents,Advertising sales agents,replace,61460,103700,0.9,0.0,0.1,"Disruption comes from media companies equipping sales teams with AI and advertisers (businesses) shifting to self-serve programmatic platforms — both organizational purchases with no individual consumer bypassing a personally paid service, though the platform-disintermediation dynamic doesn't map perfectly to either channel.",0.95,0.0,0.05,"Disruption is overwhelmingly commercial because media companies, ad platforms, and business advertisers deploy AI and self-service systems to automate sales workflows, with only minor ambiguity for independent agents or mixed-use platforms.",0.85,0.05,0.1,"AI sales automation tools and programmatic/self-serve ad platforms are bought by media employers and advertising organizations that previously relied on agents, while individual consumers almost never hire advertising sales agents.",0.9,0.0167,0.0833
information-clerks,Information clerks,replace,43730,1336600,0.9,0.05,0.05,"Information clerks are employed by organizations, so disruption comes overwhelmingly from employers deploying chatbots, RPA, document AI, and self-service portals; even when customers use self-service, it is the organization that purchases and operates the system, with only marginal cases of individuals using consumer AI to bypass clerk-mediated services.",0.95,0.0,0.05,"Information clerks are primarily displaced by employer-purchased chatbots, document-processing systems, kiosks, and workflow automation, while individuals rarely purchase their services directly.",0.85,0.1,0.05,"AI disruption of information clerks is primarily commercial as employers purchase chatbots, RPA, document AI, and self-service systems to automate routine inquiries, filing, order processing, and record-keeping, with only limited consumer bypass via personal AI for public-facing subtypes like hotel or reservation clerks.",0.9,0.05,0.05
bookkeeping-accounting-and-auditing-clerks,"Bookkeeping, accounting, and auditing clerks",replace,49210,1613400,0.85,0.1,0.05,"Bookkeeping clerks are employed by businesses that purchase AI-enabled accounting platforms (QuickBooks, ERP automation) to replace clerical headcount, with a small consumer channel from sole proprietors and very small business owners using AI tools to skip hiring a bookkeeper entirely.",0.9,0.05,0.05,"Most disruption comes from businesses and accounting firms purchasing automated bookkeeping, reconciliation, and auditing tools, while only a small share comes from individuals directly using AI instead of hiring bookkeeping help.",0.9,0.05,0.05,"AI bookkeeping and accounting automation tools are purchased almost exclusively by employers and organizations to replace or reduce internal clerical headcount, with only marginal consumer use by sole proprietors bypassing hired help.",0.8833,0.0667,0.05
paralegals-and-legal-assistants,Paralegals and legal assistants,replace,61010,376200,0.85,0.1,0.05,"Paralegals are employed by law firms and legal departments that purchase AI tools like Harvey and CoCounsel to automate research and drafting, with only a small share of disruption coming from consumers using AI for self-help legal work instead of hiring firms.",0.9,0.05,0.05,"Most disruption comes from law firms, corporate legal departments, and other employers buying legal AI to automate paralegal work, while a small share comes from consumers using AI to bypass paid legal assistance.",0.9,0.05,0.05,"AI legal research, drafting, and document-review tools are bought by law firms and legal departments to replace paralegal labor, while only marginal consumer DIY legal AI slightly reduces overall demand for attorney-supported services.",0.8833,0.0667,0.05
survey-researchers,Survey researchers,replace,63380,8800,0.85,0.05,0.1,"Survey researchers serve institutional clients (firms, government, academia), so disruption comes from employers and client organizations adopting AI survey design and analysis tools or bypassing research firms with in-house AI, with virtually no individual out-of-pocket market for survey research services.",0.9,0.05,0.05,"Survey researchers are primarily employed by research firms, corporations, universities, and government agencies that purchase AI tools to automate survey design and analysis, while direct consumer substitution is rare.",0.9,0.05,0.05,"Survey research is commissioned almost exclusively by organizations, firms, and institutions that purchase AI tools for questionnaire design, coding, analysis, and reporting, with only marginal cases of individuals or tiny entities bypassing freelancers via consumer AI.",0.8833,0.05,0.0667
computer-support-specialists,Computer support specialists,replace,61550,882300,0.8,0.15,0.05,"Most disruption comes from organizations deploying AI helpdesk chatbots, self-healing systems, and automated ticketing to replace internal support staff, though some individuals now use AI assistants to troubleshoot their own devices instead of paying for consumer tech support services.",0.95,0.05,0.0,"Computer support is predominantly employer-provided work, so organizations will purchase AI help-desk agents, ticket automation, monitoring, and self-healing tools, with only a small share coming from individuals using consumer AI instead of paid personal tech support.",0.85,0.1,0.05,"AI disruption is overwhelmingly commercial as employers purchase chatbots and automated ticket agents to replace internal/helpdesk support staff, with only a minor consumer channel where individuals use personal AI tools for self-troubleshooting instead of paid tech support.",0.8667,0.1,0.0333
appraisers-and-assessors-of-real-estate,Property appraisers and assessors,replace,65420,77300,0.8,0.15,0.05,"Disruption is driven mainly by lenders, GSEs, AMCs, and tax assessment offices adopting automated valuation models and appraisal waivers institutionally, with a smaller consumer share from homeowners using free tools like Zestimates instead of paying for private appraisals.",0.9,0.05,0.05,"Most disruption comes from lenders, appraisal firms, real-estate platforms, and tax authorities adopting automated valuation systems, while direct consumer substitution is limited because formal valuations are usually institutionally required.",0.85,0.1,0.05,"AI disruption is driven mainly by lenders, GSEs, governments, and appraisal firms buying AVMs and valuation software to reduce or waive human appraisals, while consumer self-use of free estimates rarely replaces paid licensed services required for transactions or taxes.",0.85,0.1,0.05
reporters-correspondents-and-broadcast-news-analysts,"News analysts, reporters, and journalists",replace,60280,49300,0.7,0.2,0.1,"News organizations purchase AI tools to automate routine content production and reduce newsroom headcount, while a smaller consumer channel exists as individuals get news summaries and analysis directly from AI chatbots, bypassing publishers and eroding the ad/subscription revenue that funds journalists.",0.9,0.05,0.05,"Most disruption comes from news organizations purchasing AI systems to automate or augment research, drafting, editing, and routine coverage, while direct consumer substitution for professional journalism is limited.",0.8,0.1,0.1,"AI tools for drafting, summarizing, and automating routine coverage are bought mainly by newsrooms and media companies to cut staffing, while direct consumer bypass of paid journalism services is limited and some freelancing/context cases remain ambiguous.",0.8,0.1167,0.0833
announcers,Announcers and DJs,replace,45115,39500,0.8,0.1,0.1,"Radio and broadcast stations purchase AI voice synthesis, automated programming, and synthetic DJ tools to replace on-air staff (commercial), while a small consumer share comes from individuals using AI playlist/mixing apps instead of hiring party DJs, with some ambiguity around freelance and streaming contexts.",0.8,0.15,0.05,"Most disruption comes from broadcasters, stations, and event businesses deploying AI voices, scripts, playlists, and automation, while a smaller share comes from individuals using AI music and emcee tools instead of hiring live DJs.",0.75,0.15,0.1,"Broadcast and radio announcer roles (majority of the occupation and the primary disruption target) are replaced when stations and media companies buy AI voice synthesis, scripting, and automated DJ systems, while a smaller share of live-event DJ work can be bypassed by consumers using AI playlist tools, with residual ambiguity around self-employed freelancers.",0.7833,0.1333,0.0833
